,metal,linker_SMILES
57,Zn,O=C(O)Cc1nnn[nH]1
58,Cu,N#CCCCCC#N
59,La,O=C(O)c1nc(-c2cc[n+]([O-])cc2)[nH]c1C(=O)O
60,Cu,O=CC(C=O)c1ccncc1
61,Co,O=C/C(=C/O)c1ccncc1
62,Ag,c1ccc2[nH]c(-c3cc(-c4nc5ccccc5[nH]4)cc(-c4nc5ccccc5[nH]4)c3)nc2c1
63,Cu,O=C(O)c1cn[nH]c1
64,La,O=C(O)c1ccc(OCC(COCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1
65,Eu,O=C(O)c1ccc(OCC(COCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1
66,Tb,O=C(O)c1ccc(OCC(COCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1
67,Cu,Nc1c(C(=O)O)c(N)c(C(=O)O)c(N)c1C(=O)O
68,Cu,O=C(O)c1cncc(C(=O)O)c1
69,La,Oc1cc(S(O)(O)O)cc(S(O)(O)O)c1O
70,Mn,O=C(O)c1cc(C(=O)O)[nH]n1
71,Ni,c1n[nH]cc1-c1cc(-c2cn[nH]c2)c2[nH]c3c(-c4cn[nH]c4)cc(-c4cn[nH]c4)cc3c2c1
72,Zn,O=C(O)c1ccc(NC(=O)c2cncc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1
73,Zn,O=C(O)C1=C(c2cc(C(=O)O)cc(C(=O)O)c2)NC(C(=O)O)=C(c2cc(C(=O)O)cc(C(=O)O)c2)N1
74,Zn,O=C(O)c1cccc(OCc2c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c2COc2cccc(C(=O)O)c2)c1
75,Ni,O=C(O)c1cccc(OCc2c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c(COc3cccc(C(=O)O)c3)c2COc2cccc(C(=O)O)c2)c1
76,Fe,c1ncn(CCn2cncn2)n1
77,Dy,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
78,Ag,C/C(=N\CC/N=C(\C)c1ccncc1)c1ccncc1
79,Co,Cc1nccn1Cc1cc(C(=O)O)cc(C(=O)O)c1
80,Cd,O=C1C(=O)C(=O)C1=O
81,Co,c1c[nH]cn1
82,Gd,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
83,Cd,O=CO
84,Eu,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
85,Sm,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
86,La,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
87,Ce,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
88,Gd,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
89,Nd,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1
90,Cd,O=C(O)CN(CCN(CC(=O)O)Cc1ccc(C(=O)O)cc1)CCN(CC(=O)O)Cc1ccc(C(=O)O)cc1
91,K,O=C(O)c1ccc2c3ccc(C(=O)O)c4c(C(=O)O)ccc(c5ccc(C(=O)O)c1c25)c43
92,Cu,c1cc(-n2cnnc2)ccc1-n1cnnc1
93,Co,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
94,Cu,c1cc(-c2cn[nH]c2)ccc1-c1cn[nH]c1
95,Dy,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
96,Ho,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
97,Gd,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
98,Pr,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
99,Sm,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
100,Tm,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
101,Li,O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O
102,Co,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1
103,Cu,O=C(O)c1cc(Br)c(C(=O)O)cc1Br
104,Cu,O=C(O)c1ccc(Br)c(C(=O)O)c1
105,Ag,N#CC(C#N)[N+](=O)[O-]
106,Ga,O=C(O)/C=C/C(=O)O
107,Ca,O=C1C(=O)C(=O)C1=O
108,Tb,O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12
109,Tb,O=C(O)c1ccc(C(=O)O)c2ccccc12
