,metal,linker_SMILES
2234,Zn,CC[C@H](C)[C@H](NCc1ccncc1)C(=O)O
2235,Zn,O=C(O)c1ccc(C(=O)O)c(-n2ccnc2)c1
2236,Cd,O=C(O)c1ccc(C(=O)O)c(-n2ccnc2)c1
2237,Cd,CCOc1cc(-c2ccncc2)c2cc(Cl)ccc2c1-c1c(OCC)cc(-c2ccncc2)c2cc(Cl)ccc12
2238,Zn,O=C(O)c1ccc(C(=O)O)c(-c2cc(C(=O)O)ccc2C(=O)O)c1
2239,Ag,O=C(O)[C@@H]1O[C@H]1C(=O)O
2240,Tb,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
2241,Fe,O=C(O)[C@H]1C[C@@H]2C(=O)NNC(=O)[C@H]2C[C@@H]1C(=O)O
2242,Pb,O=C(O)c1ccc(-c2c3nc(c(-c4ccc(C(=O)O)cc4)c4ccc([nH]4)c(-c4ccc(C(=O)O)cc4)c4nc(c(-c5ccc(C(=O)O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1
2243,Zn,c1n[nH]cc1-c1cn[nH]c1
2244,Cd,c1n[nH]cc1-c1cn[nH]c1
2245,Cu,c1n[nH]cc1-c1cn[nH]c1
2246,Ni,c1n[nH]cc1-c1cn[nH]c1
2247,Co,O=C(O)c1cc(C(=O)O)cc(-c2c3nc(c(-c4cc(C(=O)O)cc(C(=O)O)c4)c4ccc([nH]4)c(-c4cc(C(=O)O)cc(C(=O)O)c4)c4nc(c(-c5cc(C(=O)O)cc(C(=O)O)c5)c5ccc2[nH]5)C=C4)C=C3)c1
2248,Zr,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(-c4cc(-c5ccc(C(=O)O)cc5)cc(-c5ccc(C(=O)O)cc5)c4)cc3)c2)cc1
2249,Zr,O=C(O)c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccc(C(=O)O)cc5)nc(-c5ccc(C(=O)O)cc5)c4)cc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1
2250,Yb,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
2251,Zr,O=C(O)c1ccc(-n2c3ccc(C(=O)O)cc3c3cc(C(=O)O)ccc32)cc1
2252,In,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3cc(-c4ccc(C(=O)O)cc4)cc(-c4ccc(C(=O)O)cc4)c3)c2)cc1
2253,In,O=C(O)c1c(NO)c(NO)c(C(=O)O)c(NO)c1NO
2254,Co,O=C(O)c1ccc(Oc2cncc(C(=O)O)c2)cc1
2255,Mn,O=C(O)c1ccc(Oc2cncc(C(=O)O)c2)cc1
2256,V,O=P(O)(O)CCCP(=O)(O)O
2257,Zr,O=C(O)c1ccc(C#Cc2c(F)c(F)c(C#Cc3ccc(C(=O)O)cc3)c(F)c2F)cc1
2258,Cd,Cc1nncn1-c1ccc(C(=O)O)cc1
2259,Cd,Cc1nnc(-c2cccnc2)n1-c1ccc(C(=O)O)cc1
2260,Zn,Cc1nncn1-c1ccc(C(=O)O)cc1
2261,Hf,O=C(O)c1ccc(C#Cc2c(F)c(F)c(C#Cc3ccc(C(=O)O)cc3)c(F)c2F)cc1
2262,Hf,O=C(O)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C(=O)O)cc3)c3ccccc23)cc1
2263,Hf,O=C(O)c1ccc(C#C[C@H]2[C@@H]3NSN[C@@H]3[C@H](C#Cc3ccc(C(=O)O)cc3)[C@@H]3NSN[C@H]23)cc1
2264,Nd,O=C(O)c1ccc(/C=N/c2cc(C(=O)O)cc(C(=O)O)c2)cc1
2265,Nd,O=C(O)c1ccc(CNc2cc(C(=O)O)cc(C(=O)O)c2)cc1
2266,Zr,O=C(O)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C(=O)O)cc3)c3ccccc23)cc1
2267,Zr,O=C(O)c1ccc(C#C[C@H]2[C@@H]3NSN[C@@H]3[C@H](C#Cc3ccc(C(=O)O)cc3)[C@@H]3NSN[C@H]23)cc1
2268,Co,O=C(O)[C@H]1C=CC=NC1=S
2269,Zn,Nc1c(-c2ccc(C(=O)O)cc2)cc(C(=O)O)cc1-c1ccc(C(=O)O)cc1
2270,Cu,c1ccc(P(c2ccccc2)c2cc(-c3ccncc3)cc(P(c3ccccc3)c3ccccc3)c2)cc1
2271,Co,O=C(O)c1ccc(-c2ccc(C(=O)O)c(C(=O)O)c2)cc1C(=O)O
2272,Ni,O=C(O)c1ccc(-c2ccc(C(=O)O)c(C(=O)O)c2)cc1C(=O)O
2273,Co,NCCN
2274,Ca,O=C(O)c1cc(C(=O)O)cc(-n2cnnc2)c1
2275,Ce,Nc1cc(C(=O)O)ccc1C(=O)O
2276,Ag,N#CCCCCCCCCC#N
2277,Mn,O=C(O)c1cc(NC(=O)c2cccc(-c3cccnc3)c2)cc(C(=O)O)c1
2278,Nd,O=C(O)CCC(=O)O
2279,Mg,O=C1C(=O)C(=O)C1=O
2280,Gd,O=C(O)Cc1ccccc1CC(=O)O
2281,K,O=C1C=CC([N+](=O)[O-])=C[C@@H]1[N+](=O)[O-]
2282,Zn,O=C(O)[C@H](O)P(=O)(O)O
2283,Cu,N#Cc1ccccc1
2284,Ba,CC1(C)O[C@@H](C(O)(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccc(-c3ccc(C(=O)O)cc3)cc2)[C@H](C(O)(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccc(-c3ccc(C(=O)O)cc3)cc2)O1
2285,Mn,O=C(O)c1cc(O)c(O)c(O)c1
2286,Ni,O=C(O)c1cc(O)c(O)c(O)c1
2287,Cu,O=C(O)c1cc(C(=O)O)cc(-c2ccc3ncccc3c2)c1
2288,K,O=C(O)CCCC(=O)O
2289,Co,O=C(O)c1cc(C(=O)O)c(O)cc1O
2290,Eu,Nc1cc(C(=O)O)ccc1C(=O)O
2291,Gd,Nc1cc(C(=O)O)ccc1C(=O)O
2292,Tb,Nc1cc(C(=O)O)ccc1C(=O)O
2293,Zr,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)c(O)c(-c3c(O)c(-c4ccc(C(=O)O)cc4)cc(-c4ccc(C(=O)O)cc4)c3O)c2O)cc1
2294,Cu,O=C(O)c1cc(C(=O)O)cc([Si](c2cc(C(=O)O)cc(C(=O)O)c2)(c2cc(C(=O)O)cc(C(=O)O)c2)c2cc(C(=O)O)cc(C(=O)O)c2)c1
2295,Zn,O=C(O)c1cc(C(=O)O)cc([Si](c2cc(C(=O)O)cc(C(=O)O)c2)(c2cc(C(=O)O)cc(C(=O)O)c2)c2cc(C(=O)O)cc(C(=O)O)c2)c1
2296,Cd,O=C(O)c1cc(C(=O)O)cc([Si](c2cc(C(=O)O)cc(C(=O)O)c2)(c2cc(C(=O)O)cc(C(=O)O)c2)c2cc(C(=O)O)cc(C(=O)O)c2)c1
2297,Th,Cc1cc(C(=O)O)ccc1-c1ccc(C(=O)O)cc1C
2298,Zr,Cc1cc(C(=O)O)ccc1-c1ccc(C(=O)O)cc1C
2299,Co,COc1cc2c(-c3ccc(C(=O)O)cc3)c3cc(OC)c(OC)cc3c(-c3ccc(C(=O)O)cc3)c2cc1OC
2300,Ni,COc1cc2c(-c3ccc(C(=O)O)cc3)c3cc(OC)c(OC)cc3c(-c3ccc(C(=O)O)cc3)c2cc1OC
2301,Gd,O=C(O)c1cccc(C(=O)O)n1
2302,Ca,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
2303,Pb,O=C(O)c1ccc(-c2nnn[nH]2)cc1
2304,Zn,Nc1ccc(-c2nnn[nH]2)cc1
2305,Co,Nc1ccc(-c2nnn[nH]2)cc1
2306,Co,O=C(O)c1cc(CN2CCOCCN(Cc3cc(C(=O)O)cc(C(=O)O)c3)CCOCC2)cc(C(=O)O)c1
2307,Mn,C1=NN(CCCN2CNC=N2)CN1
2308,Cd,O=C(O)[C@H]1CC[C@H](C(=O)O)CC1
2309,Na,O=C1CC(=O)n2ncnc2N1
2310,Cu,O=P12CN3CN(CN(C3)C1)C2
2311,Cr,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
2312,In,O=C(O)c1cc(C(=O)O)cc([N+](=O)[O-])c1
2313,Mn,CCCC1=N[C@@H](C(=O)O)C(C(=O)O)=N1
2314,Mn,CCCc1nc(C(=O)O)c(C(=O)O)[nH]1
2315,Ag,O=C(O)c1cc(-c2ccncc2)nc(-c2ccncc2)c1
2316,Er,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
2317,Cd,NCCCN1CCN(CCCN)CC1
2318,Cd,NCCN1CCN(CCN)CC1
2319,Zn,CSSc1cc(C(=O)O)cc(C(=O)O)c1
2320,Zn,c1cc(N(CN(c2ccncc2)c2ccncc2)c2ccncc2)ccn1
2321,Cd,c1cc(N(CN(c2ccncc2)c2ccncc2)c2ccncc2)ccn1
2322,Ag,N#Cc1nc(N)[nH]c1C#N
2323,Ca,O=C(O)c1cc(O)c(O)c(O)c1
2324,La,O=C(O)c1cccc(C(=O)O)c1-c1c(C(=O)O)cccc1C(=O)O
2325,K,O=[N+]([O-])c1ccc(NNNc2ccc([N+](=O)[O-])cc2)cc1
2326,Zn,O=C(O)C1=NC=N[C@@H]1C(=O)O
2327,Sm,O=C(O)c1nn[nH]c1C(=O)O
2328,Eu,O=C(O)c1nn[nH]c1C(=O)O
2329,Yb,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
2330,Co,O=C(O)c1cc(Cn2ccnc2)cc(C(=O)O)c1
2331,Sr,O=C(O)CNC(=O)c1cc(C(=O)NCC(=O)O)cc(C(=O)NCC(=O)O)c1
2332,Cu,CN1CCNCC1
2333,Zn,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O
2334,Cu,CN1CCN(C)CC1
2335,Nd,O=C(O)c1cc(C(=O)O)[nH]n1
2336,Pr,O=C(O)c1cc(C(=O)O)[nH]n1
2337,Sm,O=C(O)c1cc(C(=O)O)[nH]n1
2338,Zr,[C]c1c(-c2ccc(C(=O)O)cc2)c(C)c(-c2c(C)c(-c3ccc(C(=O)O)cc3)c([C])c(-c3ccc(C(=O)O)cc3)c2C)c(C)c1-c1ccc(C(=O)O)cc1
2339,Pr,O=C(O)COc1ccc(OCC(=O)O)cc1
2340,Mn,C[C@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@@H](C)C(=O)O)cc2)cc1)C(=O)O
2341,Co,C[C@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@@H](C)C(=O)O)cc2)cc1)C(=O)O
2342,Na,O=C1NS(=O)(=O)c2cccc(O)c21
2343,Ba,O=C(O)/C=C/c1c2ccccc2c(/C=C/C(=O)O)c2ccccc12
2344,Co,c1cn(-c2ccc(NNc3ccc(-n4ccnc4)cc3)cc2)cn1
2345,Cu,O=C(O)c1cc(C(=O)O)cc(S(O)(O)O)c1
2346,Cu,F[Si](F)(F)(F)(F)F
2347,Cd,O=C(O)[C@@H](O)P(=O)(O)O
2348,Cu,c1cnc(-c2n[nH]c(-c3ccncc3)n2)nc1
2349,Zn,O=C(O)c1ccc(C(=O)O)c(N2CN=CN2)c1
2350,Cu,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)n2cnnc2)cc1
2351,Cu,O=C(O)c1ccc(C(c2ccc(C(=O)O)cc2)N2CN=CN2)cc1
2352,Eu,O=C(O)c1ccc(-n2cc(-c3ccc(C(=O)O)cn3)nn2)cc1
2353,Ag,c1cc(CSCc2cnccn2)ccn1
2354,Cd,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)nc(-c3ccc(C(=O)O)cc3)c2)cc1
2355,Zn,CCOc1cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c2cc(Cl)ccc2c1-c1c(OCC)cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c2cc(Cl)ccc12
2356,Cu,O=C(O)c1cc(C(=O)O)cc(P(=O)(O)O)c1
2357,Ca,O=C(O)c1cc(C(=O)O)cc(P(=O)(O)O)c1
2358,Ba,O=C(O)c1cc(C(=O)O)cc(P(=O)(O)O)c1
2359,Ni,O=C(O)c1ccc(-c2ccc(C(=O)O)c(O)c2)cc1O
2360,Ni,Cc1cc(-c2ccc(C(=O)O)c(O)c2)c(C)cc1-c1ccc(C(=O)O)c(O)c1
2361,Ni,Cc1cc(-c2cc(C)c(-c3ccc(C(=O)O)c(O)c3)cc2C)c(C)cc1-c1ccc(C(=O)O)c(O)c1
2362,Ni,Cc1cc(-c2cc(C)c(-c3cc(C)c(-c4ccc(C(=O)O)c(O)c4)cc3C)cc2C)c(C)cc1-c1ccc(C(=O)O)c(O)c1
2363,Y,O=C(O)Cc1ccc(CC(=O)O)cc1
2364,Zr,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)c3[nH]c4c(-c5ccc(C(=O)O)cc5)cc(-c5ccc(C(=O)O)cc5)cc4c3c2)cc1
2365,Mg,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
2366,Ag,C=CCn1cnc2c1NC=N[C@H]2N
2367,Ag,C=CCn1cnc2c(N)ncnc21
2368,Hg,S=c1ccn(-c2ccncc2)cc1
2369,Ho,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
2370,Mn,O=C(O)c1cc[n+]([O-])cc1
2371,Cd,O=C(O)c1cccnc1C(=O)O
2372,Co,O=[N+]([O-])c1ncc[nH]1
2373,Co,[C]c1ncc[nH]1
2374,Zn,Clc1nc[nH]c1Cl
2375,Cu,OCc1n[nH]c(CO)n1
2376,Ni,S=c1ccccn1CCn1ccccc1=S
2377,Cu,O=C(O)c1cc(C(=O)O)cc(N2c3ccccc3S(=O)(=O)c3ccccc32)c1
2378,Co,O=C(O)c1cc(OCc2ccccc2)cc(C(=O)O)c1
2379,Cs,N#CC(C#N)=c1c(=O)c(=O)c(=C(C#N)C#N)c1=O
2380,Cd,O=C(O)c1ccc(-c2cccnc2)c(C(=O)O)c1
2381,Er,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1
2382,Cd,O=C(O)c1ncccn1
2383,Cd,O=P(O)(O)Cc1cc(CP(=O)(O)O)cc(CP(=O)(O)O)c1
2384,Cd,O=C(O)c1cc(Sc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
2385,Eu,O=C(O)CN(CC(=O)O)CC(=O)O
2386,La,O=C(O)c1ccc(C(c2ccc(C(=O)O)cc2)(C(F)(F)F)C(F)(F)F)cc1
2387,Cd,O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1
2388,Zn,O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12
2389,Cu,C[C@H](NC(=O)CN)C(=O)O
2390,Cu,[C]SCC[C@@H](NC(=O)CN)C(=O)O
2391,In,O=C(O)c1ccc(C(=O)O)cc1
2392,Li,Cc1cc(C)c(O)c(C)c1
2393,Cd,c1nc(-n2cnnc2)n[nH]1
2394,Pb,Cc1cc(O)c(C)cc1O
2395,Ce,Nc1cc(C(=O)O)cc(C(=O)O)c1
2396,Cu,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
2397,Sr,c1cnc(-c2ncccn2)nc1
2398,U,O=C(O)[C@H]1[C@H](C(=O)O)[C@H](C(=O)O)[C@H]1C(=O)O
2399,K,N/N=N/c1ccc(S(O)(O)O)cc1
2400,U,O=C(O)[C@H]1[C@H](C(=O)O)[C@@H](C(=O)O)[C@@H]1C(=O)O
2401,Cu,O=C(O)CCC(=O)O
2402,Ag,c1cnc(Sc2cncc(Sc3cnccn3)n2)cn1
2403,Cu,C1[C@]2(c3nn[nH]n3)C[C@]3(c4nnn[nH]4)C[C@@]1(c1nnn[nH]1)C[C@](c1nnn[nH]1)(C2)C3
2404,Cd,C1[C@]2(c3nn[nH]n3)C[C@]3(c4nnn[nH]4)C[C@@]1(c1nnn[nH]1)C[C@](c1nnn[nH]1)(C2)C3
2405,Zn,C1[C@]2(c3nn[nH]n3)C[C@]3(c4nnn[nH]4)C[C@@]1(c1nnn[nH]1)C[C@](c1nnn[nH]1)(C2)C3
2406,Ca,O=C(O)c1c(F)c(F)c(C(=O)O)c(F)c1F
2407,Cd,O=C(O)c1ccc(-c2cc(C(=O)O)c(-c3ccc(C(=O)O)cc3)cc2C(=O)O)cc1
2408,Cd,O=C(O)[C@H](CO)NCc1ccncc1
2409,Cs,COc1ccc(-c2coc3ccc(F)cc3c2=O)cc1S(O)(O)O
2410,Zn,O=C(O)c1ccc(-c2ccc(C(=C(c3ccc(-c4ccc(C(=O)O)cc4)cc3)c3ccc(-c4ccc(C(=O)O)cc4)cc3)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2)cc1
2411,Mn,O=C(O)c1cc(OCc2c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c2COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
2412,Mg,O=C(O)c1ccc(-c2cncc(-c3ccc(C(=O)O)cc3)n2)cc1
2413,Cd,c1cc(-c2nnn[nH]2)cc(-n2ccnc2)c1
2414,Cd,O=C(O)c1cc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc(C(=O)O)c1
2415,Co,O=C(O)c1cc(N2CNc3ccccc32)cc(-n2ccnc2)c1
2416,Cu,O=C(O)c1ccc(Oc2ccc(C(=O)O)cc2)cc1
2417,Cd,O=C(O)c1ccc(C(=O)O)cc1
2418,La,O=C(O)c1ccc(O)c(-c2nc(C(=O)O)ccc2O)n1
2419,Ce,O=C(O)c1ccc(O)c(-c2nc(C(=O)O)ccc2O)n1
2420,Pr,O=C(O)c1ccc(O)c(-c2nc(C(=O)O)ccc2O)n1
2421,Ba,O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O
2422,Cu,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
2423,Tb,O=C(O)c1cc(CN2C=CC(c3ccncc3)C=C2)cc(C(=O)O)c1
2424,Sr,O=C(O)c1ccc(C(=O)O)o1
2425,Zn,O=C(O)c1cc(NCc2ccccc2)cc(C(=O)O)c1
2426,Cs,O=C(O)/C=C\C(=O)O
2427,Rb,O=C(O)/C=C\C(=O)O
2428,Rb,O=C(O)CCC(=O)O
2429,Sm,Cc1c(C)c(CNc2cc(C(=O)O)cc(C(=O)O)c2)c(C)c(C)c1CNc1cc(C(=O)O)cc(C(=O)O)c1
2430,Cu,O=C(O)c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1
2431,Ba,O=C(O)c1ccc(C2=C(c3ccc(C(=O)O)cc3)SC(=C3SC(c4ccc(C(=O)O)cc4)=C(c4ccc(C(=O)O)cc4)S3)S2)cc1
2432,Co,O=C(O)c1ccc(O[PH]2(Oc3ccc(C(=O)O)cc3)N[PH](Oc3ccc(C(=O)O)cc3)(Oc3ccc(C(=O)O)cc3)N[PH](Oc3ccc(C(=O)O)cc3)(Oc3ccc(C(=O)O)cc3)N2)cc1
2433,Zn,O=C(O)c1ccc2[nH]c3ccc(C(=O)O)cc3c2c1
2434,La,Cc1c(C)c(CNc2cc(C(=O)O)cc(C(=O)O)c2)c(C)c(C)c1CNc1cc(C(=O)O)cc(C(=O)O)c1
2435,Zn,O=C(O)c1ccc(NNc2ccc(C(=O)O)cc2)cc1
2436,Cu,Cc1nnc(-c2ccc(-c3nnc(C)n3-c3cccc(C(=O)O)c3)s2)n1-c1cccc(C(=O)O)c1
2437,Ni,O=C(O)c1cc(NC(=O)c2ccncc2)cc(C(=O)O)c1
2438,Cd,c1cc(Sc2ccncc2)ccn1
2439,Sr,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
2440,Zn,COc1cccc(C2=N[C@@H](C(=O)O)C(C(=O)O)=N2)c1
2441,Nd,O=C(O)/C=C/c1cccc(/C=C/C(=O)O)c1
2442,Zn,Cc1c(COc2cc(C(=O)O)cc(C(=O)O)c2)c(C)c(COc2cc(C(=O)O)cc(C(=O)O)c2)c(C)c1COc1cc(C(=O)O)cc(C(=O)O)c1
2443,Ag,O=C(O)c1cncc(C(=O)O)c1
2444,Ca,O=C(O)CN1C=CN(Cc2ccc(CN3C=CN(CC(=O)O)C3)cc2)C1
2445,Pb,O=C(O)CN(CC(=O)O)c1ccc(C(=O)O)cc1
2446,Yb,COc1cc(/C=C/c2ccc(C(=O)O)cc2)c(OC)cc1/C=C/c1ccc(C(=O)O)cc1
2447,Co,C[C@@H](C[C@H](C)C(O)O)C(O)O
2448,Ni,[C][C@@H](C[C@H]([C])C(=O)O)C(=O)O
2449,Ca,OS(O)(O)c1cccc2c(S(O)(O)O)cccc12
2450,Cu,C1CN2CCN1CC2
2451,Cd,CC1=NCC=N1
2452,Cd,[C]c1ncc[nH]1
2453,Cd,CCC1NC=CN1
2454,Cd,CCC1=NCC=N1
2455,Cd,CCc1ncc[nH]1
2456,Cd,O=[N+]([O-])C1=NCC=N1
2457,Cd,O=[N+]([O-])c1ncc[nH]1
2458,Cd,CCCc1ncc[nH]1
2459,Cd,CCCCc1ncc[nH]1
2460,Cd,c1ccc(-c2ncc[nH]2)cc1
2461,Zn,CCCc1ncc[nH]1
2462,Co,Cc1cncc(C(=O)O)c1
2463,Zn,Nc1n[nH]c(=S)s1
2464,Mn,O=C(O)c1ccc(-c2cccnc2)cc1
2465,Cd,O=C(O)c1ccc(-c2cccnc2)cc1
2466,Cr,O=C(O)C1=CCC(C(=O)O)=CC1
2467,Cr,O=C(O)c1ccc(C(=O)O)cc1
2468,Eu,O=C(O)c1cc2nc[nH]c2cc1C(=O)O
2469,Tb,O=C(O)c1cc2nc[nH]c2cc1C(=O)O
2470,Eu,[C]c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1
2471,Gd,[C]c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1
2472,Tb,[C]c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1
2473,Dy,O=P(O)(O)c1cccc(P(=O)(O)O)c1
2474,Ag,c1n[nH]cp1
2475,Sr,OS(O)(O)CCS(O)(O)O
2476,Pb,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
2477,Zn,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)c(O)c3)cc(-c3ccc(C(=O)O)c(O)c3)c2)cc1O
2478,Ag,S=c1[nH]ncs1
2479,Cu,c1ccc(-c2ncn[nH]2)nc1
2480,Ca,O=C(O)C#CC(=O)O
2481,Mg,O=C(O)C#CC(=O)O
2482,Al,O=P(O)(O)CCP(=O)(O)O
2483,V,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
2484,Eu,O=C(O)c1ccc(C(=O)O)nc1
2485,Pr,O=C(O)c1ccc(C(=O)O)nc1
2486,Mn,O=C(O)[C@H]1C[C@@H](C(=O)O)[C@@H](C(=O)O)C[C@H]1C(=O)O
2487,Mn,O=C(O)[C@H]1C[C@H](C(=O)O)[C@H](C(=O)O)C[C@@H]1C(=O)O
2488,U,O=P(O)(O)c1ccc(P(=O)(O)O)cc1
2489,Mn,O=C(O)c1nc(C(F)(F)F)[nH]c1C(=O)O
2490,Co,O=P(O)(O)CNCP(=O)(O)O
2491,Cs,O=C1NN[C@H]([N+](=O)[O-])N1
2492,Cu,O=C(O)c1cc(C#Cc2ccc(C#Cc3cc(C#Cc4ccc(C#Cc5cc(C(=O)O)cc(C(=O)O)c5)cc4)cc(C#Cc4ccc(C#Cc5cc(C(=O)O)cc(C(=O)O)c5)cc4)c3)cc2)cc(C(=O)O)c1
2493,Co,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1
2494,Cd,NCCN
2495,Na,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
2496,Co,Fc1cc(-c2cn[nH]c2)cc(F)c1-c1cn[nH]c1
2497,Co,Fc1cc(-c2cn[nH]c2)c(F)cc1-c1cn[nH]c1
2498,Co,Cc1cc(-c2cn[nH]c2)c(C)cc1-c1cn[nH]c1
2499,Zn,c1cnc2c(c1)c1nc[nH]c1c1cccnc12
2500,Cu,O=C(O)c1cc(NC(=O)c2ccc(-c3cncnc3)cc2)cc(C(=O)O)c1
2501,Ni,C(C#Cc1cn[nH]c1)#Cc1cn[nH]c1
2502,Ca,O=C(O)c1ccc(P(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
2503,Mg,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c1
2504,Cu,O=C(O)c1cc(C(=O)O)[nH]n1
2505,Co,Cc1ccc(-c2c3nc(c(-c4ccncc4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccncc5)c5ccc2[nH]5)C=C4)C=C3)cc1
2506,Ag,c1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1
2507,Tb,O=C(O)c1ccc(Oc2ccc(C(=O)O)cc2)cc1
2508,Cu,c1cc(-c2ccc([C@]34C[C@]5(c6ccc(-c7ccncc7)cc6)C[C@](c6ccc(-c7ccncc7)cc6)(C3)C[C@](c3ccc(-c6ccncc6)cc3)(C4)C5)cc2)ccn1
2509,Tb,O=CO
2510,Ho,O=CO
2511,Tm,O=CO
2512,Yb,O=CO
2513,Lu,O=CO
2514,Y,O=CO
2515,Ni,O=C(O)c1ccc(-c2cc(C(=O)O)c(-c3ccc(C(=O)O)cc3)cc2C(=O)O)cc1
2516,Cu,O=C(O)c1csc(-c2ccncc2)n1
2517,Ga,O=P(O)(O)Cc1ccc(CP(=O)(O)O)cc1
2518,Pb,O=C(O)C(=O)O
2519,Zn,O=C(O)c1cc(NC(=O)c2ccncc2)cc(C(=O)O)c1
2520,Ag,CSCc1cccc(CSC)c1
2521,Cd,c1ccc2[nH]c(Cn3ccnc3)nc2c1
2522,Cu,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2-c2cc(C(=O)O)cc(C(=O)O)c2)c1
2523,Mn,O=C(O)c1ccc2nn[nH]c2c1
2524,Er,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
2525,Tm,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
2526,Lu,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
2527,Ce,O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O
2528,Cu,C[C@H]1CN(c2cc(C(=O)O)cc(C(=O)O)c2)CCN1c1cc(C(=O)O)cc(C(=O)O)c1
2529,Er,CC1(COc2ccc(C(=O)O)cc2)[C@@H](Oc2ccc(C(=O)O)cc2)[C@@H]1Oc1ccc(C(=O)O)cc1
2530,Y,CC(COc1ccc(C(=O)O)cc1)(COc1ccc(C(=O)O)cc1)COc1ccc(C(=O)O)cc1
2531,Eu,COc1cc(C(=O)O)c(OC)cc1C(=O)O
2532,Tb,COc1cc(C(=O)O)c(OC)cc1C(=O)O
2533,Cd,ON1C=C(c2ccncc2)CC(c2ccncc2)=C1
2534,Ag,O=C(c1cccnc1)c1ccccn1
2535,Nd,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
