,2253
328,-0.0013551654
329,-0.006173653
330,-0.0036576951
331,-0.0033095405
332,-0.003729973
333,-0.006897821
334,-0.0017050687
335,-0.0012900587
336,-0.0019324642
337,-0.0012000749
338,-0.0013623852
339,-0.0017690045
340,-0.001616036
341,-0.002387518
342,-0.0018821568
343,-0.00593117
344,-0.0052866084
345,-0.0013673743
346,-0.005820129
347,-0.0015560463
348,-0.003095183
349,-0.0023286159
350,-0.0025159535
351,-0.004139147
352,-0.0021828078
353,-0.0028130794
354,-0.00079608185
355,-0.0012195817
356,-0.0066919397
357,-0.00067821395
358,-0.00053303153
359,-0.0012990749
360,-0.000688432
361,-0.0047455053
362,-0.0018010996
363,-0.0036570926
364,-0.0008270804
365,-0.0020243635
366,-0.005094351
367,-0.0012351244
368,-0.005870537
369,-0.0018578377
370,-0.0042494056
371,-0.0030579744
372,-0.0012054471
373,-0.0030847662
374,-0.0016728765
375,-0.0053498447
376,-0.004994294
377,-0.0040717646
378,-0.0017492254
379,-0.0010166318
380,-0.0016058676
381,-0.00176832
382,-0.0030805431
383,-0.0010577226
384,-0.0023215509
385,-0.0048470497
386,-0.0033263967
387,-0.002719332
388,-0.0021025343
389,-0.0016928297
390,-0.0022308924
391,-0.003809402
392,-0.0048021083
393,-0.002635066
394,-0.0030651356
395,-0.0051091006
396,-0.006439429
397,-0.00084309455
398,-0.0032403776
399,-0.0033720182
400,-0.002482813
401,-0.0029510718
402,-0.0017461383
403,-0.0009448337
404,-0.0009445933
405,-0.0027757795
406,-0.001922092
407,-0.0043614735
408,-0.0008225032
409,-0.002909926
410,-0.0029761763
411,-0.0029882651
412,-0.0024481649
413,-0.002589478
414,-0.005211022
415,-0.0066617657
416,-0.0033295718
417,-0.004881934
418,-0.004735775
419,-0.0020648688
420,-0.0031059403
421,-0.0045420243
422,-0.00060780824
423,-0.004052499
424,-0.005630519
425,-0.00621739
426,-0.004337139
427,-0.0022486616
428,-0.0037878656
429,-0.0010985518
430,-0.007793467
431,-0.0032813295
432,-0.0019475936
433,-0.0010566503
434,-0.0009979359
435,-0.0032332316
436,-0.002400547
437,-0.0012702367
438,-0.0050779833
439,-0.001711336
440,-0.0007148112
441,-0.005286986
442,-0.0010662228
443,-0.001018617
444,-0.0032911904
445,-0.007027302
446,-0.0009422902
447,-0.0013866308
448,-0.0023503352
449,-0.0022979106
450,-0.002301602
451,-0.0011886916
452,-0.0033446252
453,-0.001974112
454,-0.0026793925
455,-0.0068586953
456,-0.001656031
457,-0.003641016
458,-0.0017739868
459,-0.0015925553
460,-0.0015596988
461,-0.0027422872
462,-0.0006670228
463,-0.0033739097
464,-0.00044615418
465,-0.0013493021
466,-0.0030564032
467,-0.0018560933
468,-0.0043352908
469,-0.0010527687
470,-0.00072289543
471,-0.0038156048
472,-0.006284315
473,-0.0039477367
474,-0.004115198
475,-0.0020645913
476,-0.0038097436
477,-0.004608714
478,-0.0045111803
479,-0.0019675514
480,-0.0044266833
481,-0.004402239
482,-0.0009919932
483,-0.0015529047
484,-0.0041687
485,-0.005167237
486,-0.0009529036
487,-0.002255712
488,-0.0048737545
489,-0.001056443
490,-0.0013398195
491,-0.0012251053
492,-0.0073449844
493,-0.0011250095
494,-0.0067361733
495,-0.002873866
496,-0.00051872345
497,-0.0020058197
498,-0.00338961
499,-0.001903862
500,-0.006251584
501,-0.0011298431
502,-0.0025251936
503,-0.0010496626
504,-0.0019335735
505,-0.0016272098
506,-0.00056954595
507,-0.000766155
508,-0.0013192367
509,-0.0047345045
510,-0.0054754983
511,-0.0023639854
512,-0.0012964607
513,-0.00305603
514,-0.0012723781
515,-0.00095696154
516,-0.001368771
517,-0.0021343583
518,-0.0050050607
519,-0.0011328851
520,-0.0012880864
521,-0.007343349
522,-0.00519718
523,-0.003552022
524,-0.006267606
525,-0.0033888929
526,-0.005375659
527,-0.0012338225
528,-0.005998207
529,-0.0053319405
530,-0.001434793
531,-0.00090922194
532,-0.0027654604
533,-0.0047996286
534,-0.002766756
535,-0.0017024893
536,-0.0012379631
537,-0.0015450601
538,-0.0028610013
539,-0.00143669
540,-0.0017471222
541,-0.002291873
542,-0.002130002
543,-0.0053855246
544,-0.001460894
545,-0.00065669505
546,-0.0039270427
547,-0.0041194553
548,-0.0011724558
549,-0.002007887
550,-0.0064018317
551,-0.0026813736
552,-0.0037225122
